"1","  |=                                                     |   2%"
"1","  |                                                            "
"1","  |==                                                    |   3%"
"1","  |                                                            "
"1","  |===                                                   |   5%"
"1","  |                                                            "
"1","  |====                                                  |   7%"
"1","  |                                                            "
"1","  |=====                                                 |   9%"
"1","  |                                                            "
"1","  |======                                                |  10%"
"1","  |                                                            "
"1","  |=======                                               |  12%"
"1","  |                                                            "
"1","  |=======                                               |  14%"
"1","  |                                                            "
"1","  |========                                              |  16%"
"1","  |                                                            "
"1","  |=========                                             |  17%"
"1","  |                                                            "
"1","  |==========                                            |  19%"
"1","  |                                                            "
"1","  |===========                                           |  21%"
"1","  |                                                            "
"1","  |============                                          |  22%"
"1","  |                                                            "
"1","  |=============                                         |  24%"
"1","  |                                                            "
"1","  |==============                                        |  26%"
"1","  |                                                            "
"1","  |===============                                       |  28%"
"1","  |                                                            "
"1","  |================                                      |  29%"
"1","  |                                                            "
"1","  |=================                                     |  31%"
"1","  |                                                            "
"1","  |==================                                    |  33%"
"1","  |                                                            "
"1","  |===================                                   |  34%"
"1","  |                                                            "
"1","  |====================                                  |  36%"
"1","  |                                                            "
"1","  |====================                                  |  38%"
"1","  |                                                            "
"1","  |=====================                                 |  40%"
"1","  |                                                            "
"1","  |======================                                |  41%"
"1","  |                                                            "
"1","  |=======================                               |  43%"
"1","  |                                                            "
"1","  |========================                              |  45%"
"1","  |                                                            "
"1","  |=========================                             |  47%"
"1","  |                                                            "
"1","  |==========================                            |  48%"
"1","  |                                                            "
"1","  |===========================                           |  50%"
"1","  |                                                            "
"1","  |============================                          |  52%"
"1","  |                                                            "
"1","  |=============================                         |  53%"
"1","  |                                                            "
"1","  |==============================                        |  55%"
"1","  |                                                            "
"1","  |===============================                       |  57%"
"1","  |                                                            "
"1","  |================================                      |  59%"
"1","  |                                                            "
"1","  |=================================                     |  60%"
"1","  |                                                            "
"1","  |==================================                    |  62%"
"1","  |                                                            "
"1","  |==================================                    |  64%"
"1","  |                                                            "
"1","  |===================================                   |  66%"
"1","  |                                                            "
"1","  |====================================                  |  67%"
"1","  |                                                            "
"1","  |=====================================                 |  69%"
"1","  |                                                            "
"1","  |======================================                |  71%"
"1","  |                                                            "
"1","  |=======================================               |  72%"
"1","  |                                                            "
"1","  |========================================              |  74%"
"1","  |                                                            "
"1","  |=========================================             |  76%"
"1","  |                                                            "
"1","  |==========================================            |  78%"
"1","  |                                                            "
"1","  |===========================================           |  79%"
"1","  |                                                            "
"1","  |============================================          |  81%"
"1","  |                                                            "
"1","  |=============================================         |  83%"
"1","  |                                                            "
"1","  |==============================================        |  84%"
"1","  |                                                            "
"1","  |===============================================       |  86%"
"1","  |                                                            "
"1","  |===============================================       |  88%"
"1","  |                                                            "
"1","  |================================================      |  90%"
"1","  |                                                            "
"1","  |=================================================     |  91%"
"1","  |                                                            "
"1","  |==================================================    |  93%"
"1","  |                                                            "
"1","  |===================================================   |  95%"
"1","  |                                                            "
"1","  |====================================================  |  97%"
"1","  |                                                            "
"1","  |===================================================== |  98%"
"1","  |                                                            "
"1","  |======================================================| 100%"
"1","
"
"1","
     Output is a LIST where each element of the list is a DATAFRAME 
            with the channels in columns for each FSA file.

"
"2","Error in frame$set <- i : object of type 'closure' is not subsettable
"
